Pricing Date,BP. | Share Price (Daily)($)
06/22/2022,4.716203413187651
06/21/2022,4.85503063943707
06/20/2022,4.793857984253125
06/17/2022,4.632184188681088
06/16/2022,4.982504558671331
06/15/2022,5.154303493686761
06/14/2022,5.227324624130182
06/13/2022,5.182915709231499
06/10/2022,5.388974437942717
06/09/2022,5.613784640044079
06/08/2022,5.663952219029576
06/07/2022,5.615433954196169
06/06/2022,5.51728025453771
06/01/2022,5.38593139274966
05/31/2022,5.47093506689848
05/30/2022,5.487550160132664
05/27/2022,5.4326298394116375
05/26/2022,5.478426140368543
05/25/2022,5.3723678097414584
05/24/2022,5.303286384976526
05/23/2022,5.391472722014762
05/20/2022,5.200373948270489
05/19/2022,5.1597174470213165
05/18/2022,5.238969448131287
05/17/2022,5.252559258843627
05/16/2022,5.1235104650165955
05/13/2022,5.073962144106888
05/12/2022,4.893783555713185
05/11/2022,5.175580234435666
05/10/2022,4.98136370905244
05/09/2022,4.98319648418746
05/06/2022,5.275751205638679
05/05/2022,5.168478327925082
05/04/2022,5.1992699269927
05/03/2022,5.184216454333843
04/29/2022,4.915018075918859
04/28/2022,4.833104994395317
04/27/2022,4.737698760485789
04/26/2022,4.790249075278048
04/25/2022,4.688751318850344
04/22/2022,5.051458967736962
04/21/2022,5.26223045998016
04/20/2022,5.234894949758581
04/19/2022,5.214739880635054
04/14/2022,5.216863221408142
04/13/2022,5.186456606581128
04/12/2022,5.161715052992478
04/11/2022,5.041529213878711
04/08/2022,5.095997396680768
04/07/2022,4.928437108232345
04/06/2022,4.9793426247940795
04/05/2022,5.021968653682209
04/04/2022,4.95349538889399
04/01/2022,4.9669698796759905
03/31/2022,4.93401162026448
03/30/2022,5.038239281812319
03/29/2022,4.879378761201482
03/28/2022,4.986320019898153
03/25/2022,5.165774272676917
03/24/2022,5.1327363603993295
03/23/2022,5.120859681315925
03/22/2022,4.919966078337838
03/21/2022,4.949253652549196
03/18/2022,4.748853634111632
03/17/2022,4.843272976102747
03/16/2022,4.725931361629081
03/15/2022,4.709719504240052
03/14/2022,4.655931251550888
03/11/2022,4.7060052492067435
03/10/2022,4.768338755378318
03/09/2022,4.896030993042379
03/08/2022,4.974798717025593
03/07/2022,4.74210305383566
03/04/2022,4.6007162396099
03/03/2022,4.781309607971295
03/02/2022,4.997730731238487
03/01/2022,4.7619682624349915
02/28/2022,4.8765274778339665
02/25/2022,5.075767735014081
02/24/2022,4.880117544914179
02/23/2022,5.191864406779661
02/22/2022,5.253857133147557
02/21/2022,5.2853604768255185
02/18/2022,5.318368345245536
02/17/2022,5.4205378306950385
02/16/2022,5.483275161951842
02/15/2022,5.37787943588772
02/14/2022,5.418216241801338
02/11/2022,5.67364312621544
02/10/2022,5.599105669997682
02/09/2022,5.560374034422008
02/08/2022,5.407090199479619
02/07/2022,5.530518338070105
02/04/2022,5.499031335943534
02/03/2022,5.342555277202919
02/02/2022,5.283395044146967
02/01/2022,5.312854595558437
01/31/2022,5.1377033338701885
01/28/2022,5.174936899199828
01/27/2022,5.257658767899481
01/26/2022,5.3260355429420905
01/25/2022,5.1216156056497635
01/24/2022,4.899480582393627
01/21/2022,5.182980569754986
01/20/2022,5.311395307573669
01/19/2022,5.371478417315215
01/18/2022,5.374555232637097
01/17/2022,5.3771884303389506
01/14/2022,5.315119443190986
01/13/2022,5.2742210254437545
01/12/2022,5.223696643523273
01/11/2022,5.0330224007625795
01/10/2022,4.925583730174881
01/07/2022,4.919868097868125
01/06/2022,4.807640242581763
01/05/2022,4.813262246822135
01/04/2022,4.751461988304093
12/31/2021,4.475166549314847
12/30/2021,4.494412352210765
12/29/2021,4.528729125389188
12/24/2021,4.529123935920637
12/23/2021,4.529432262906771
12/22/2021,4.468923159089392
12/21/2021,4.395669917320331
12/20/2021,4.2752109174578825
12/17/2021,4.429271011665406
12/16/2021,4.513616086290698
12/15/2021,4.375016526958775
12/14/2021,4.4702315544199225
12/13/2021,4.431803148564625
12/10/2021,4.533725038707373
12/09/2021,4.53262088528267
12/08/2021,4.614203861269535
12/07/2021,4.639877292501355
12/06/2021,4.591471656110037
12/03/2021,4.506809467142668
12/02/2021,4.479995740942849
12/01/2021,4.433464734711272
11/30/2021,4.309169149288316
11/29/2021,4.359393915206662
11/26/2021,4.230257024903449
11/25/2021,4.593359447864204
11/24/2021,4.591802732422526
11/23/2021,4.540225272226236
11/22/2021,4.485459813284687
11/19/2021,4.396973083603754
11/18/2021,4.53277827176461
11/17/2021,4.606308757374134
11/16/2021,4.624149454442968
11/15/2021,4.588937107847747
11/12/2021,4.572647279751046
11/11/2021,4.6186888624228875
11/10/2021,4.690808550812597
11/09/2021,4.659389118848578
11/08/2021,4.681038573656023
11/05/2021,4.6593193131078765
11/04/2021,4.583749628709529
11/03/2021,4.5762040124637835
11/02/2021,4.6950497475194295
11/01/2021,4.881583985122792
10/29/2021,4.792795751902338
10/28/2021,4.860689236206992
10/27/2021,4.909794876019442
10/26/2021,4.951204719633898
10/25/2021,4.968246752352219
10/22/2021,4.886710899430113
10/21/2021,4.918055421320778
10/20/2021,5.019006151081622
10/19/2021,4.995721305139955
10/18/2021,4.957617819718001
10/15/2021,5.003577916001541
10/14/2021,4.89289524799606
10/13/2021,4.8420320301203175
10/12/2021,4.871216036119345
10/11/2021,4.910994193495625
10/08/2021,4.821684282304807
10/07/2021,4.699340347816606
10/06/2021,4.629679833003498
10/05/2021,4.784287507504229
10/04/2021,4.685820783849596
10/01/2021,4.5783377362324735
09/30/2021,4.594612840072909
09/29/2021,4.547776523095123
09/28/2021,4.559060557218513
09/27/2021,4.541778051956954
09/24/2021,4.377067556114499
09/23/2021,4.363978465088173
09/22/2021,4.326772029997131
09/21/2021,4.2133988265793425
09/20/2021,4.152992014002844
09/17/2021,4.190105491905869
09/16/2021,4.21476787436286
09/15/2021,4.280217574843255
09/14/2021,4.154721841372719
09/13/2021,4.18535747909398
09/10/2021,4.094138174566906
09/09/2021,4.078666925014533
09/08/2021,4.09971271082764
09/07/2021,4.112742057749293
09/06/2021,4.125314461062119
09/03/2021,4.112190996436841
09/02/2021,4.14719141521697
09/01/2021,4.056047197640118
08/31/2021,4.086167987670629
08/27/2021,4.158189915873976
08/26/2021,4.069799357725139
08/25/2021,4.092255781417166
08/24/2021,4.101195295667568
08/23/2021,4.046139708403627
08/20/2021,3.920006536748784
08/19/2021,3.9316554626441493
08/18/2021,4.162254342414698
08/17/2021,4.157274026830878
08/16/2021,4.126852236532336
08/13/2021,4.231979266281375
08/12/2021,4.245974658330106
08/11/2021,4.321424115127065
08/10/2021,4.276379544258936
08/09/2021,4.233834638575091
08/06/2021,4.263684144836289
08/05/2021,4.259839777081156
08/04/2021,4.212194511635666
08/03/2021,4.253397437678904
08/02/2021,4.027270073804328
07/30/2021,4.021637857907691
07/29/2021,4.1299397935379325
07/28/2021,4.050021513136893
07/27/2021,4.044750430292599
07/26/2021,4.03922435835418
07/23/2021,3.908378043747421
07/22/2021,3.906894843999339
07/21/2021,3.961053178969264
07/20/2021,3.813069102094704
07/19/2021,3.8088528985309003
07/16/2021,4.029367158417207
07/15/2021,4.103370848810778
07/14/2021,4.222785722203747
07/13/2021,4.23367564425499
07/12/2021,4.292974879535639
07/09/2021,4.299781484247504
07/08/2021,4.235433385180801
07/07/2021,4.237708304641234
07/06/2021,4.287961148974918
07/05/2021,4.491370474000609
07/02/2021,4.433714995171748
07/01/2021,4.469204495372411
06/30/2021,4.35052827843381
06/29/2021,4.373641887309518
06/28/2021,4.375564040263797
06/25/2021,4.527687749509674
06/24/2021,4.508299274334807
06/23/2021,4.52742710311697
06/22/2021,4.49161389101538
06/21/2021,4.409697576997481
06/18/2021,4.3519055109418545
06/17/2021,4.515432313801992
06/16/2021,4.639109832458961
06/15/2021,4.687632090624735
06/14/2021,4.662254646027065
06/11/2021,4.574435072079442
06/10/2021,4.5752327588646455
06/09/2021,4.5847921843234705
06/08/2021,4.572139936906733
06/07/2021,4.52573373032752
06/04/2021,4.5256849800243675
06/03/2021,4.572065399861752
06/02/2021,4.562858966177409
06/01/2021,4.459099538152041
05/28/2021,4.341998893758244
05/27/2021,4.346254182498725
05/26/2021,4.388975999773983
05/25/2021,4.380103410278869
05/24/2021,4.478414720452937
05/21/2021,4.422973394157481
05/20/2021,4.395557696121483
05/19/2021,4.3656468123062115
05/18/2021,4.495657603451212
05/17/2021,4.453104042243777
05/14/2021,4.419722120452048
05/13/2021,4.327267114734316
05/12/2021,4.44422518535224
05/11/2021,4.31145522229614
05/10/2021,4.463389461480822
05/07/2021,4.385866752458351
05/06/2021,4.365084872794903
05/05/2021,4.430318120487961
05/04/2021,4.3027385477650455
04/30/2021,4.185603182716083
04/29/2021,4.213816294353207
04/28/2021,4.23817278383231
04/27/2021,4.110981178304934
04/26/2021,4.118063656057323
04/23/2021,4.044249993077285
04/22/2021,4.082762438585565
04/21/2021,4.121311795286346
04/20/2021,4.067392546947539
04/19/2021,4.208516352852307
04/16/2021,4.187052547198497
04/15/2021,4.183725514522421
04/14/2021,4.253690164160574
04/13/2021,4.097122055086201
04/12/2021,4.102000137466492
04/09/2021,4.048249646635837
04/08/2021,4.099869496531356
04/07/2021,4.206894652030796
04/06/2021,4.152644480452033
04/01/2021,4.0079107140387515
03/31/2021,4.059210888852152
03/30/2021,4.13727804155117
03/29/2021,4.141742701987485
03/26/2021,4.174137312774115
03/25/2021,4.032512734612057
03/24/2021,4.140520946326326
03/23/2021,4.075319342437061
03/22/2021,4.259847213942074
03/19/2021,4.255761999250697
03/18/2021,4.350160368149491
03/17/2021,4.352771458691672
03/16/2021,4.322316344952091
03/15/2021,4.390423419294811
03/12/2021,4.496607907468165
03/11/2021,4.466069607254132
03/10/2021,4.375486165129459
03/09/2021,4.380053908355794
03/08/2021,4.402094327632415
03/05/2021,4.40057975015529
03/04/2021,4.379694778217627
03/03/2021,4.264812846192581
03/02/2021,4.138296684897868
03/01/2021,4.150277568555248
02/26/2021,4.062804623311517
02/25/2021,4.302222096653435
02/24/2021,4.210348326006088
02/23/2021,3.998025666337611
02/22/2021,3.9359727806990414
02/19/2021,3.8184902697549212
02/18/2021,3.758947383108457
02/17/2021,3.885135135135135
02/16/2021,3.8708779741199386
02/15/2021,3.8797540550315777
02/12/2021,3.624382207578253
02/11/2021,3.562052670848647
02/10/2021,3.586953512196473
02/09/2021,3.580834195105136
02/08/2021,3.5967815018742533
02/05/2021,3.459896498236078
02/04/2021,3.482638035133732
02/03/2021,3.5262798634812285
02/02/2021,3.4794236437070185
02/01/2021,3.652549673855074
01/29/2021,3.723871180117408
01/28/2021,3.794636730436692
01/27/2021,3.8693983828970806
01/26/2021,3.877794868977641
01/25/2021,3.8316085520028405
01/22/2021,3.9623440680976643
