Pricing Date,EXE | Share Price (Daily)($)
02/17/2022,74.56240054557853
02/16/2022,74.35197817189632
02/15/2022,77.94568799000113
02/14/2022,78.44467050977732
02/11/2022,81.2043795620438
02/10/2022,84.77886272257322
02/09/2022,84.85818847209515
02/08/2022,85.40762731217173
02/07/2022,84.79030967889385
02/04/2022,84.90673990159057
02/03/2022,83.92407957923622
02/02/2022,82.4672390420244
02/01/2022,84.32651225545312
01/31/2022,85.57347670250897
01/28/2022,85.27737470699856
01/27/2022,85.8704137392662
01/26/2022,87.78066117567415
01/25/2022,88.43767625493514
01/24/2022,88.92408643511709
01/21/2022,89.14596801633208
01/20/2022,89.57931738292324
01/19/2022,89.8876404494382
01/18/2022,90.42492917847025
01/17/2022,96.73739447866757
01/14/2022,88.40662478583668
01/13/2022,87.38532110091744
01/12/2022,88.4167237834133
01/11/2022,85.21758891035111
01/10/2022,84.49428021293464
01/07/2022,84.37287366749831
01/06/2022,84.08679927667269
01/05/2022,86.53301619662477
01/04/2022,88.13559322033899
01/03/2022,87.39837398373984
12/31/2021,88.0245649948823
12/30/2021,87.40942028985508
12/29/2021,87.6078075351793
12/28/2021,85.75630727457856
12/27/2021,84.71121177802945
12/24/2021,86.18934509670852
12/23/2021,85.32307344121308
12/22/2021,88.64203128542282
12/21/2021,89.46478873239438
12/20/2021,89.7377938517179
12/17/2021,89.52531288758597
12/16/2021,93.82771874293466
12/15/2021,89.88510925884208
12/14/2021,91.5238954012624
12/13/2021,91.47374364765669
12/10/2021,86.88765697477089
12/09/2021,86.21078763258859
12/08/2021,87.95194378329367
12/07/2021,78.46223021582735
12/06/2021,79.1699560166911
12/03/2021,77.88689468337283
12/02/2021,78.02781861359267
12/01/2021,79.50169875424689
11/30/2021,78.89990982867448
11/29/2021,81.14504677110335
11/26/2021,83.05986194409869
11/25/2021,81.84774077811413
11/24/2021,82.83891189969775
11/23/2021,83.13619466035823
11/22/2021,84.46897173105079
11/19/2021,84.6824408468244
11/18/2021,85.5651384475715
11/17/2021,85.904826494857
11/16/2021,86.86777046949422
11/15/2021,83.61891706648389
11/12/2021,89.9828277046365
11/11/2021,89.42903003898189
11/10/2021,89.96539792387544
11/09/2021,90.53021532762213
11/08/2021,91.09874826147427
11/05/2021,90.36283799399122
11/04/2021,92.60969976905311
11/03/2021,92.19365299976836
11/02/2021,88.0342870381096
11/01/2021,86.22088306872176
10/29/2021,81.40610545790935
10/28/2021,81.53253124634972
10/27/2021,79.49936261443968
10/26/2021,78.84057971014494
10/25/2021,78.2719777029381
10/22/2021,78.63208095847386
10/21/2021,79.1802515137401
10/20/2021,78.71448532836516
10/19/2021,79.12497090993715
10/18/2021,78.90461824089115
10/15/2021,78.88631090487239
10/14/2021,78.0906036380489
10/13/2021,80.9997685720898
10/12/2021,76.41694563084383
10/11/2021,79.85186899664392
10/08/2021,83.09223469505845
10/07/2021,85.35739070090214
10/06/2021,87.18717564294775
10/05/2021,89.38936614813095
10/04/2021,88.53258975252702
10/01/2021,91.35172733596104
09/30/2021,92.7213722763097
09/29/2021,92.47211895910779
09/28/2021,93.66970334034106
09/27/2021,93.6110461034402
09/24/2021,94.14519906323186
09/23/2021,94.355122638188
09/22/2021,93.90773564972415
09/21/2021,93.74267635340988
09/20/2021,93.88569416735125
09/17/2021,94.14250498884846
09/16/2021,94.11764705882354
09/15/2021,94.54029780193808
09/14/2021,93.88672105947735
09/13/2021,94.21487603305785
09/10/2021,94.62976105985332
09/09/2021,94.5291267871913
09/08/2021,94.5179584120983
09/07/2021,94.71939379587971
09/06/2021,92.28944246737841
09/03/2021,92.92929292929294
09/02/2021,93.00118623962041
09/01/2021,97.19094464857176
08/31/2021,96.78942398489141
08/30/2021,96.76658012744866
08/27/2021,97.1583539676925
08/26/2021,96.90697400917324
08/25/2021,96.81588532487372
08/24/2021,96.59224441833138
08/23/2021,96.91423207790683
08/20/2021,96.49532710280373
08/19/2021,96.29543064157998
08/18/2021,96.20786516853931
08/17/2021,96.06373008434863
08/16/2021,97.79663014021445
08/13/2021,98.65470852017935
08/12/2021,96.21025460518597
08/11/2021,97.17169346320854
08/10/2021,97.08054871614492
08/09/2021,98.21428571428572
08/06/2021,98.10610516409835
08/05/2021,100.41444641799882
08/04/2021,98.4731920937389
08/03/2021,101.00770598695911
08/02/2021,98.882814357024
07/30/2021,98.69513641755634
07/29/2021,100.33285782215884
07/28/2021,99.8819362455726
07/27/2021,99.63317950538399
07/26/2021,101.57080429904335
07/23/2021,99.75297023879544
07/22/2021,98.03228467067281
07/21/2021,98.87905604719764
07/20/2021,97.65854806447817
07/19/2021,96.7551622418879
07/16/2021,98.24064234266147
07/15/2021,98.75959834613111
07/14/2021,98.8647114474929
07/13/2021,98.29867674858222
07/12/2021,97.97177084568854
07/09/2021,102.7405386166805
07/08/2021,100.68704098554845
07/07/2021,107.79573062861188
07/06/2021,108.561967833491
07/05/2021,109.15994304698624
07/02/2021,109.4268119374704
07/01/2021,108.78066121578385
06/30/2021,109.0822859852976
06/29/2021,107.15561376354329
06/28/2021,107.14711848228134
06/25/2021,105.09972530753612
06/24/2021,104.25861863294763
06/23/2021,104.3956043956044
06/22/2021,107.6318609358257
06/21/2021,108.88730045270432
06/18/2021,107.1724955542383
06/17/2021,106.99392350768495
06/16/2021,104.45952496364517
06/15/2021,101.38248847926266
06/14/2021,103.31029465260096
06/11/2021,104.99576629974597
06/10/2021,105.36561625501886
06/09/2021,107.23860589812334
06/08/2021,108.3911825599805
06/07/2021,109.76948408342481
06/04/2021,104.6356004380095
06/03/2021,103.55280708136294
06/02/2021,106.26603151337487
06/01/2021,105.58549730524254
05/31/2021,99.03411174960264
05/28/2021,98.72029250457038
05/27/2021,98.04878048780488
05/26/2021,97.70395701025892
05/25/2021,97.40577581987272
05/24/2021,99.70674486803519
05/21/2021,98.96404631322365
05/20/2021,97.70395701025892
05/19/2021,97.04228794915669
05/18/2021,99.365234375
05/17/2021,98.906439854192
05/14/2021,98.31290205121981
05/13/2021,97.54919715079077
05/12/2021,94.20289855072464
05/11/2021,93.21002677050376
05/10/2021,95.34233248206252
05/07/2021,94.79824987846379
05/06/2021,94.03254972875226
05/05/2021,92.6548247719635
05/04/2021,91.79382434218431
05/03/2021,91.95124894412936
04/30/2021,92.626007458198
04/29/2021,90.87604507451836
04/28/2021,88.31357367529638
04/27/2021,85.26570048309178
04/26/2021,85.02415458937199
04/23/2021,84.67012423109396
04/22/2021,84.82518322720172
04/21/2021,84.71720818291216
04/20/2021,83.79484709848302
04/19/2021,84.20546132563454
04/16/2021,81.93579300431242
04/15/2021,80.8805934434075
04/14/2021,81.4176245210728
04/13/2021,82.08064900978287
04/12/2021,81.96330712413628
04/09/2021,82.23410576351753
04/08/2021,81.17114972625566
04/07/2021,80.63748810656517
04/06/2021,79.59256188558568
04/01/2021,79.30344746440758
03/31/2021,78.63849765258216
03/30/2021,76.69754896212034
03/29/2021,76.70588235294119
03/26/2021,78.31112159452766
03/25/2021,78.68080094228503
03/24/2021,79.99053366465508
03/23/2021,79.75314502729645
03/22/2021,80.90692124105013
03/19/2021,78.07664841704357
03/18/2021,77.10670804487944
03/17/2021,77.11531595858621
03/16/2021,77.05112960760998
03/15/2021,76.61097852028641
03/12/2021,76.67502687208885
03/11/2021,77.53050969131371
03/10/2021,77.05112960760998
03/09/2021,77.49910852252466
03/08/2021,77.80808919463884
03/05/2021,78.15106028115319
03/04/2021,77.80320366132723
03/03/2021,79.2174858108924
03/02/2021,78.4645098985997
03/01/2021,79.10285783190642
02/26/2021,79.37084089534179
02/25/2021,81.66259168704157
02/24/2021,80.80562970152874
02/23/2021,79.76653696498053
02/22/2021,80.89396331835296
02/19/2021,81.048289250182
02/18/2021,79.98066932463455
02/17/2021,81.58844765342961
02/16/2021,81.86001453136352
