Pricing Date,6752 | Share Price (Daily)($),"6752 | Volume (Daily)"
03/18/2022,9.853539804439968,7799500
03/17/2022,9.856479527226677,6780600
03/16/2022,9.604186007257997,6173700
03/15/2022,9.398384982877436,5341700
03/14/2022,9.355773630955408,4672600
03/11/2022,9.341086264163186,8857800
03/10/2022,9.434449958643507,10599000
03/09/2022,8.848869599015352,8988300
03/08/2022,9.11369430880256,7316800
03/07/2022,9.140902398891487,9671500
03/04/2022,9.70230571416118,8217200
03/03/2022,9.932887066922664,4599900
03/02/2022,9.875817219551006,8521900
03/01/2022,10.348038746399075,5476800
02/28/2022,10.323229869701754,7438500
02/25/2022,10.180956335201715,5022100
02/24/2022,10.068538848789956,8331600
02/22/2022,10.327666312840412,4648300
02/21/2022,10.5293410670429,3982200
02/18/2022,10.709446548309767,5797800
02/17/2022,10.675491159562718,7658400
02/16/2022,10.455466814504254,5647500
02/15/2022,10.473127760920493,5651900
02/14/2022,10.573338753340657,4581900
02/10/2022,10.643348554559031,5139700
02/09/2022,10.60687432867884,6588000
02/08/2022,10.44063456914001,4828000
02/07/2022,10.443194757107719,5935000
02/04/2022,10.508230434820337,10964100
02/03/2022,10.342545093496609,23320800
02/02/2022,11.150270667354631,6835600
02/01/2022,10.950940830929326,5341800
01/31/2022,10.871546493763509,5467300
01/28/2022,10.822943076442192,7053600
01/27/2022,10.49914239678442,8273800
01/26/2022,11.06719021924493,4698400
01/25/2022,11.139200505609102,9083000
01/24/2022,11.47608636479379,4058800
01/21/2022,11.442733600506221,4692700
01/20/2022,11.343904021889745,6298400
01/19/2022,11.317682894805944,5537600
01/18/2022,11.507042991045715,4357100
01/17/2022,11.589649605096653,2612600
01/14/2022,11.511063093449982,5258000
01/13/2022,11.534348870229811,4345100
01/12/2022,11.57429599867523,5720500
01/11/2022,11.262100583254613,5382500
01/07/2022,11.372084579608913,5116300
01/06/2022,11.317103512621593,6517500
01/05/2022,11.537433039757778,7686000
01/04/2022,11.37244766089429,8103900
12/30/2021,10.986529559409767,4651900
12/29/2021,11.01664679725367,4534000
12/28/2021,11.000697350069736,4583500
12/27/2021,10.732229778563406,3372600
12/24/2021,10.902160323830007,2605400
12/23/2021,10.921268930782414,3301800
12/22/2021,10.80311788404274,3744300
12/21/2021,10.787363624413969,5157200
12/20/2021,10.774968918358889,6546900
12/17/2021,10.801626846488372,8116700
12/16/2021,10.792790732449621,5008800
12/15/2021,10.729255454697235,5398900
12/14/2021,10.610324509717705,7178700
12/13/2021,10.880678312679581,5196700
12/10/2021,11.000503031426227,6293100
12/09/2021,10.85261757736454,7978000
12/08/2021,11.077923218835105,7911500
12/07/2021,11.18995633187773,6954100
12/06/2021,10.94649262742264,4056400
12/03/2021,11.094504483789377,5747800
12/02/2021,10.959461491512831,7004900
12/01/2021,11.013820396816262,7528000
11/30/2021,10.957273248379558,15389900
11/29/2021,11.198395453785725,8041200
11/26/2021,11.60944281731889,6470700
11/25/2021,11.738493415520127,3630100
11/24/2021,11.821396380780698,5109300
11/22/2021,12.031130168026214,3078800
11/19/2021,12.156225287760302,5290900
11/18/2021,12.15926493108729,4101900
11/17/2021,12.128756114605169,4788300
11/16/2021,12.22035037490289,7787300
11/15/2021,12.449534842899773,5213300
11/12/2021,12.43381365085219,6181700
11/11/2021,12.140989876660175,4653700
11/10/2021,12.119296026978606,5485800
11/09/2021,11.979706218290966,4557900
11/08/2021,12.090290661719234,4381600
11/05/2021,12.14458893541988,6507200
11/04/2021,12.327333796414347,9741500
11/02/2021,12.009059465912882,8056700
11/01/2021,12.108468042230692,12351400
10/29/2021,12.207523516468104,23980500
10/28/2021,13.10377092013276,8264400
10/27/2021,13.180556043724298,11388800
10/26/2021,13.367766786308325,21088000
10/25/2021,12.715181689434656,11233600
10/22/2021,12.122517895773608,4028200
10/21/2021,12.026902281418963,4041700
10/20/2021,12.221599663818461,3369000
10/19/2021,12.221278681922836,2516300
10/18/2021,12.253936577125401,3224700
10/15/2021,12.30193835454458,4574600
10/14/2021,12.113345360144322,3310700
10/13/2021,11.995027419724568,6222400
10/12/2021,12.140406439693852,8136500
10/11/2021,12.006073660793106,9159400
10/08/2021,11.370628996441662,4951500
10/07/2021,11.27188890483709,4047100
10/06/2021,11.300677950882235,6301700
10/05/2021,11.449936264564894,7525100
10/04/2021,11.594477189567224,8158800
10/01/2021,12.119356755686013,5734800
09/30/2021,12.46156190886026,6268800
09/29/2021,12.569395399565526,5730500
09/28/2021,12.961931624238723,5725500
09/27/2021,12.851362190319122,4279400
09/24/2021,12.812754042091953,5646900
09/22/2021,12.661982113524367,3973700
09/21/2021,12.672188915839092,5806300
09/17/2021,12.858663900188374,7742500
09/16/2021,13.047759724273757,4378800
09/15/2021,13.181830647299186,4666900
09/14/2021,13.345065927452447,8456700
09/13/2021,13.150356041797396,4073600
09/10/2021,13.073947667804322,8864100
09/09/2021,12.81724269863538,6785700
09/08/2021,12.953532204864258,8174500
09/07/2021,12.80714007129187,9738800
09/06/2021,12.513770154498857,5737300
09/03/2021,12.255505402817672,5564700
09/02/2021,11.964832846921055,4584000
09/01/2021,12.085745181604224,5774600
08/31/2021,11.929984087292567,7966100
08/30/2021,11.784190075801007,5547700
08/27/2021,11.584855541809185,5055300
08/26/2021,11.428078083536295,4216800
08/25/2021,11.548141485176401,4194200
08/24/2021,11.434407170668102,3535900
08/23/2021,11.382521000751247,4030100
08/20/2021,11.148150172140555,6527800
08/19/2021,11.401438167020588,8083500
08/18/2021,11.94613774906742,3639500
08/17/2021,12.027585451958073,3374600
08/16/2021,12.136277902909775,4469800
08/13/2021,12.37396048712507,3400800
08/12/2021,12.374712268682146,3363600
08/11/2021,12.387193714528816,4475700
08/10/2021,12.243771823494292,5626600
08/06/2021,12.333810966208985,3843000
08/05/2021,12.388146744181807,6792500
08/04/2021,12.144030668127053,4777900
08/03/2021,12.247330063711784,3606700
08/02/2021,12.250167089349313,6080700
07/30/2021,11.89424101895972,13533400
07/29/2021,12.326515704894085,7972000
07/28/2021,12.044909526923917,4358800
07/27/2021,12.08324213905304,3979300
07/26/2021,11.971569222958578,5888800
07/21/2021,11.911025636373534,6973500
07/20/2021,11.643885481317003,4451000
07/19/2021,11.834211463479221,4194200
07/16/2021,12.023747923418394,4144300
07/15/2021,11.956916924195601,4076400
07/14/2021,11.973763104820394,4792500
07/13/2021,12.050485190587937,4768600
07/12/2021,12.029250788357679,5653400
07/09/2021,11.761289385799333,7002400
07/08/2021,11.874624364835086,4471600
07/07/2021,11.745360582569885,5103100
07/06/2021,11.82950321512874,3368800
07/05/2021,11.912273743419629,3800100
07/02/2021,11.82559936738435,6278400
07/01/2021,11.470767466035776,4024700
06/30/2021,11.58358564013841,6840100
06/29/2021,11.709167277697816,7377600
06/28/2021,11.788867979154604,6811300
06/25/2021,11.81813257254293,13779600
