Pricing Date,MG | Share Price (Daily)($)
09/24/2021,76.96912884904722
09/23/2021,77.7383207070707
09/22/2021,76.09993714644878
09/21/2021,74.1454658966755
09/20/2021,74.28209855326064
09/17/2021,75.92871485943775
09/16/2021,76.22350066987154
09/15/2021,80.25272214007259
09/14/2021,79.04208631957819
09/13/2021,78.97191828473848
09/10/2021,79.44771927048305
09/09/2021,79.7898396144426
09/08/2021,79.11918281839446
09/07/2021,80.59205318980527
09/03/2021,80.44746304434679
09/02/2021,80.42645688852086
09/01/2021,78.85602890833017
08/31/2021,78.81060300434277
08/30/2021,79.20689956123995
08/27/2021,79.82933856821707
08/26/2021,78.79358200811343
08/25/2021,80.23240166860599
08/24/2021,80.63198470800053
08/23/2021,78.56540283986534
08/20/2021,77.49399015084916
08/19/2021,77.77821209396865
08/18/2021,82.45007163720702
08/17/2021,82.68371518205151
08/16/2021,85.42014468558709
08/13/2021,86.04334959609695
08/12/2021,86.39776357827476
08/11/2021,86.64130069862992
08/10/2021,86.37680234274634
08/09/2021,84.03575177327524
08/06/2021,83.62241812800356
08/05/2021,84.55443482162173
08/04/2021,82.54102345449763
08/03/2021,84.50535973113742
07/30/2021,83.87795196664128
07/29/2021,83.72500341455968
07/28/2021,81.67145277660667
07/27/2021,81.20542536933264
07/26/2021,81.75975247998468
07/23/2021,80.85938431456708
07/22/2021,85.0852363081229
07/21/2021,87.3361054023483
07/20/2021,85.39579688885054
07/19/2021,82.42885558113676
07/16/2021,85.19865918947687
07/15/2021,87.75048223309793
07/14/2021,87.9225354925819
07/13/2021,88.81804963009124
07/12/2021,90.2824033577029
07/09/2021,90.48819693027993
07/08/2021,88.4734954165006
